title,release_date,revenue,budget,return,crew
Fight Club,1999-10-15,100853753.0,63000000.0,1.6008532222222225,David Fincher
The Poseidon Adventure,1972-12-01,84563118.0,5000000.0,16.9126236,Ronald Neame
The Poseidon Adventure,1972-12-01,84563118.0,5000000.0,16.9126236,Irwin Allen
Bread and Tulips,2000-03-03,0.0,0.0,0.0,Silvio Soldini
Dogville,2003-05-19,16680836.0,10000000.0,1.6680836,Lars von Trier
The Cuckoo,2002-01-01,0.0,0.0,0.0,Aleksandr Rogozhkin
Spider-Man,2002-05-01,821708551.0,139000000.0,5.911572309352518,Sam Raimi
Spider-Man 2,2004-06-25,783766341.0,200000000.0,3.918831705,Sam Raimi
Spider-Man 3,2007-05-01,890871626.0,258000000.0,3.4529907984496124,Sam Raimi
Secret Beyond the Door,1948-01-01,0.0,0.0,0.0,Fritz Lang
Constantine,2005-02-08,230884728.0,100000000.0,2.30884728,Francis Lawrence
Die Hard,1988-07-15,140767956.0,28000000.0,5.027427,John McTiernan
Starship Troopers,1997-11-06,121214377.0,105000000.0,1.154422638095238,Paul Verhoeven
The Mummy,1999-04-16,415885488.0,80000000.0,5.1985686,Stephen Sommers
The Ring,2002-10-18,249348933.0,48000000.0,5.1947694375,Gore Verbinski
Rear Window,1954-08-01,36764313.0,1000000.0,36.764313,Alfred Hitchcock
Apollo 13,1995-06-30,355237933.0,52000000.0,6.831498711538462,Ron Howard
Fat Girl,2001-03-07,0.0,0.0,0.0,Catherine Breillat
The Birds,1963-03-28,11403529.0,2500000.0,4.5614116,Alfred Hitchcock
Next Door,2005-03-10,0.0,2400000.0,0.0,Pål Sletaune
Frenzy,1972-05-25,12600000.0,3500000.0,3.6,Alfred Hitchcock
The Man Who Knew Too Much,1956-06-01,10250000.0,2500000.0,4.1,Alfred Hitchcock
The Experiment,2001-03-07,0.0,0.0,0.0,Oliver Hirschbiegel
The Wild Bunch,1969-06-17,638641.0,6244087.0,0.1022793244232503,Sam Peckinpah
To Die For,1995-05-20,21284514.0,20000000.0,1.0642257,Gus Van Sant
Jaws,1975-06-18,470654000.0,7000000.0,67.23628571428571,Steven Spielberg
Jaws 2,1978-06-16,187884007.0,20000000.0,9.39420035,Jeannot Szwarc
Jaws: The Revenge,1987-07-17,51881013.0,23000000.0,2.2556962173913044,Joseph Sargent
Dances with Wolves,1990-11-09,424208848.0,22000000.0,19.28222036363636,Kevin Costner
The Lives of Others,2006-03-15,70000000.0,2000000.0,35.0,Florian Henckel von Donnersmarck
Life of Brian,1979-08-17,20045115.0,4000000.0,5.01127875,Terry Jones
2 Fast 2 Furious,2003-06-05,236350661.0,76000000.0,3.1098771184210525,John Singleton
"Monsters, Inc.",2001-11-01,562816256.0,115000000.0,4.8940544,Pete Docter
Wag the Dog,1997-12-25,64256513.0,15000000.0,4.283767533333333,Barry Levinson
Big Fish,2003-12-25,122919055.0,70000000.0,1.7559865,Tim Burton
Silent Hill,2006-04-21,97607453.0,50000000.0,1.95214906,Christophe Gans
The Hours,2002-12-27,41597830.0,25000000.0,1.6639132,Stephen Daldry
The Da Vinci Code,2006-05-17,767820459.0,125000000.0,6.142563672,Ron Howard
The Conversation,1974-04-07,4420000.0,1600000.0,2.7625,Francis Ford Coppola
Solaris,1972-03-20,0.0,0.0,0.0,Andrei Tarkovsky
The Terminal,2004-06-17,219417255.0,60000000.0,3.65695425,Steven Spielberg
To Kill a Mockingbird,1962-12-25,13129846.0,2000000.0,6.564923,Robert Mulligan
The Grapes of Wrath,1940-03-15,0.0,750000.0,0.0,John Ford
Titanic,1997-11-18,1845034188.0,200000000.0,9.22517094,James Cameron
City of God,2002-02-05,30641770.0,3300000.0,9.28538484848485,Fernando Meirelles
City of God,2002-02-05,30641770.0,3300000.0,9.28538484848485,Kátia Lund
Sunset Boulevard,1950-08-10,5000000.0,1752000.0,2.853881278538813,Billy Wilder
Full Metal Jacket,1987-06-26,46357676.0,17000000.0,2.726922117647059,Stanley Kubrick
E.T. the Extra-Terrestrial,1982-04-03,792965326.0,10500000.0,75.52050723809523,Steven Spielberg
Independence Day,1996-06-25,816969268.0,75000000.0,10.892923573333332,Roland Emmerich
The Matrix,1999-03-30,463517383.0,63000000.0,7.357418777777778,Lana Wachowski
The Matrix,1999-03-30,463517383.0,63000000.0,7.357418777777778,Lilly Wachowski
