title,runtime,release_year
The War of the Roses,116.0,1989
In China They Eat Dogs,91.0,1999
Ghost,127.0,1990
Willy Wonka & the Chocolate Factory,100.0,1971
Live and Let Die,121.0,1973
King Kong,187.0,2005
Stolen Kisses,96.0,1968
Antoine and Colette,29.0,1962
Oliver Twist,130.0,2005
Bed and Board,100.0,1970
Love on the Run,89.0,1979
The 39 Steps,86.0,1935
Cat on a Hot Tin Roof,108.0,1958
The King of Comedy,109.0,1982
Lili Marleen,120.0,1981
Contempt,103.0,1963
Live Flesh,103.0,1997
Batman,126.0,1989
Breathless,90.0,1960
Ronja Robbersdaughter,126.0,1984
Batman Begins,140.0,2005
The White Sound,107.0,2001
The Silence of the Lambs,119.0,1991
Fargo,98.0,1996
The Edukators,127.0,2004
Underworld,121.0,2003
The Shawshank Redemption,142.0,1994
Amadeus,160.0,1984
Terminator 2: Judgment Day,137.0,1991
Strange Days,145.0,1995
The Apartment,125.0,1960
Pirates of the Caribbean: At World's End,169.0,2007
Germany: A Summer's Fairytale,107.0,2006
Bull Durham,108.0,1988
High Noon,85.0,1952
Casablanca,102.0,1942
Barton Fink,116.0,1991
Riding Giants,105.0,2004
Dave Chappelle's Block Party,100.0,2005
A River Runs Through It,123.0,1992
Desert Hearts,96.0,1985
Terminator 3: Rise of the Machines,109.0,2003
Meet Joe Black,178.0,1998
Ocean's Thirteen,122.0,2007
Ocean's Eleven,127.0,1960
The Science of Sleep,105.0,2006
Rio Bravo,141.0,1959
Swimming Pool,102.0,2003
Notorious,102.0,1946
Beverly Hills Cop III,104.0,1994
"Rome, Open City",100.0,1945
Broken Flowers,105.0,2005
The Celebration,105.0,1998
Bruce Almighty,101.0,2003
Once Upon a Time in America,229.0,1984
Beyond Silence,109.0,1996
Snow Cake,112.0,2006
Catwoman,104.0,2004
"Faster, Pussycat! Kill! Kill!",83.0,1965
Grill Point,111.0,2002
Grbavica: The Land of My Dreams,90.0,2006
The Million Dollar Hotel,122.0,2000
True Romance,120.0,1993
Insomnia,118.0,2002
Mambo Italiano,92.0,2003
Mystic River,138.0,2003
Snakes on a Plane,105.0,2006
Brother,114.0,2000
Jurassic Park,127.0,1993
The Lost World: Jurassic Park,129.0,1997
Jurassic Park III,92.0,2001
Inspector Gadget,78.0,1999
Bollywood/Hollywood,101.0,2002
Magnolia,188.0,1999
Once Upon a Time in the West,175.0,1968
"Duck, You Sucker",157.0,1971
Monsieur Ibrahim,94.0,2003
"Good bye, Lenin!",121.0,2003
Night on Earth,129.0,1991
Everything is Illuminated,106.0,2005
Summer Storm,98.0,2004
Harold and Maude,91.0,1971
"Bang, Boom, Bang",110.0,1999
Eyes Wide Shut,159.0,1999
Seven Samurai,207.0,1954
People on Sunday,74.0,1930
Alien,117.0,1979
Cockles and Muscles,93.0,2005
The Devil Wears Prada,109.0,2006
Head-On,121.0,2004
Batman Returns,126.0,1992
A Nightmare on Elm Street,91.0,1984
Raising Arizona,94.0,1987
Miller's Crossing,115.0,1990
Rain Man,133.0,1988
To Catch a Thief,106.0,1955
Mala Noche,78.0,1986
Das Boot,149.0,1981
Inside Man,129.0,2006
12 Angry Men,96.0,1957
Lisbon Story,100.0,1994
A Fistful of Dollars,99.0,1964
Chocolat,121.0,2000
Kill Bill: Vol. 2,136.0,2004
AVP: Alien vs. Predator,101.0,2004
Who's Afraid of Virginia Woolf?,131.0,1966
French Kiss,111.0,1995
Capote,114.0,2005
Things to Do in Denver When You're Dead,116.0,1995
Garden State,102.0,2004
Basic Instinct,127.0,1992
Driving Miss Daisy,99.0,1989
The Straight Story,112.0,1999
La Strada,104.0,1954
La Haine,98.0,1995
Short Sharp Shock,93.0,1998
Snow White and the Seven Dwarfs,83.0,1937
The English Patient,162.0,1996
Summer in Berlin,105.0,2005
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143.0,2005
Batman Forever,121.0,1995
Batman & Robin,125.0,1997
The Life Aquatic with Steve Zissou,119.0,2004
8½,138.0,1963
The Pianist,150.0,2002
Schindler's List,195.0,1993
Ice Age,81.0,2002
Vertigo,128.0,1958
Mon oncle,110.0,1958
Summer '04,97.0,2006
"The Good, the Bad and the Ugly",161.0,1966
"One, Two, Three",115.0,1961
Cube,90.0,1997
Mary Poppins,139.0,1964
Tough Enough,99.0,2006
The Day After Tomorrow,124.0,2004
Maria Full of Grace,101.0,2004
Cube²: Hypercube,94.0,2002
Cube Zero,97.0,2004
La Dolce Vita,174.0,1960
Aliens vs Predator: Requiem,94.0,2007
Human Nature,96.0,2001
Popular Music,100.0,2004
Caché,117.0,2005
Leaving Las Vegas,112.0,1995
The Idiots,117.0,1998
A Beautiful Mind,135.0,2001
Romeo + Juliet,120.0,1996
Bend It Like Beckham,112.0,2002
Sissi,102.0,1955
Sissi: The Young Empress,107.0,1956
Sissi: The Fateful Years of an Empress,109.0,1957
Go for Zucker,136.0,2005
Erin Brockovich,131.0,2000
As It Is in Heaven,132.0,2004
Junior Size 36,88.0,1988
Klute,114.0,1971
The Hole,102.0,2001
My Own Private Idaho,104.0,1991
Stranger Than Paradise,89.0,1984
21 Grams,124.0,2003
Bandyta,102.0,1997
Pi,84.0,1998
Bonnie and Clyde,111.0,1967
Drugstore Cowboy,100.0,1989
Shaft,99.0,2000
Monsoon Wedding,114.0,2001
7 Virgins,86.0,2005
Shaft,100.0,1971
Wild at Heart,124.0,1990
The African Queen,105.0,1951
Good Will Hunting,126.0,1997
The Seventh Seal,96.0,1957
Being John Malkovich,112.0,1999
Shaft's Big Score!,104.0,1972
Shaft in Africa,112.0,1973
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,82.0,2006
The Green Mile,189.0,1999
Cléo from 5 to 7,90.0,1962
Reservoir Dogs,99.0,1992
Grizzly Man,103.0,2005
Fail-Safe,112.0,1964
Poseidon,99.0,2006
Monster,110.0,2003
Johnny Handsome,94.0,1989
Marnie,130.0,1964
Killing Zoe,96.0,1993
Love Actually,135.0,2003
Notting Hill,124.0,1999
One Flew Over the Cuckoo's Nest,133.0,1975
The Promised Land,179.0,1975
Scoop,96.0,2006
Fire,108.0,1996
Dial M for Murder,104.0,1954
Ed Wood,127.0,1994
Requiem,92.0,2006
Casino,178.0,1995
The Blues Brothers,133.0,1980
Ladyhawke,121.0,1985
Once Were Warriors,99.0,1994
A Grand Day Out,23.0,1990
The Wrong Trousers,30.0,1993
A Close Shave,30.0,1995
The Curse of the Were-Rabbit,85.0,2005
Terminator Salvation,115.0,2009
Flashdance,95.0,1983
Not Here to Be Loved,93.0,2005
Psycho,109.0,1960
D.E.B.S.,91.0,2004
The Man with the Golden Arm,119.0,1955
The Crime of Padre Amaro,118.0,2002
Blackmail,84.0,1929
There's Something About Mary,119.0,1998
Transamerica,103.0,2005
The Horse Whisperer,170.0,1998
Rashomon,88.0,1950
Basquiat,108.0,1996
Fight Club,139.0,1999
The Poseidon Adventure,117.0,1972
Bread and Tulips,114.0,2000
Dogville,178.0,2003
The Cuckoo,100.0,2002
Spider-Man,121.0,2002
Spider-Man 2,127.0,2004
Spider-Man 3,139.0,2007
Secret Beyond the Door,99.0,1948
Constantine,121.0,2005
Die Hard,131.0,1988
Starship Troopers,129.0,1997
The Mummy,124.0,1999
The Ring,115.0,2002
Rear Window,112.0,1954
Apollo 13,140.0,1995
Fat Girl,86.0,2001
The Birds,119.0,1963
Next Door,75.0,2005
Frenzy,116.0,1972
The Man Who Knew Too Much,120.0,1956
The Experiment,114.0,2001
The Wild Bunch,145.0,1969
To Die For,106.0,1995
Jaws,124.0,1975
Jaws 2,116.0,1978
Jaws: The Revenge,89.0,1987
Dances with Wolves,181.0,1990
The Lives of Others,137.0,2006
Life of Brian,94.0,1979
2 Fast 2 Furious,107.0,2003
"Monsters, Inc.",92.0,2001
Wag the Dog,97.0,1997
Big Fish,125.0,2003
Silent Hill,125.0,2006
The Hours,114.0,2002
The Da Vinci Code,149.0,2006
The Conversation,113.0,1974
Solaris,167.0,1972
The Terminal,128.0,2004
To Kill a Mockingbird,129.0,1962
The Grapes of Wrath,129.0,1940
Titanic,194.0,1997
City of God,130.0,2002
Sunset Boulevard,110.0,1950
Full Metal Jacket,116.0,1987
E.T. the Extra-Terrestrial,115.0,1982
Independence Day,145.0,1996
The Matrix,136.0,1999
The Matrix Reloaded,138.0,2003
The Matrix Revolutions,129.0,2003
Out of Africa,161.0,1985
Men in Black,98.0,1997
Men in Black II,88.0,2002
Poltergeist,114.0,1982
Munich,164.0,2005
Downfall,156.0,2004
Wild Strawberries,91.0,1957
The Passion of the Christ,127.0,2004
The Last Samurai,154.0,2003
Wild Things,108.0,1998
The Birth of a Nation,193.0,1915
The Bodyguard,129.0,1992
Ghostbusters,107.0,1984
Grease,110.0,1978
The Ninth Gate,133.0,1999
A Fish Called Wanda,108.0,1988
Easy Rider,95.0,1969
The Killing Fields,141.0,1984
Un chien andalou,16.0,1929
Trainspotting,93.0,1996
Interview with the Vampire,123.0,1994
The Usual Suspects,106.0,1995
The Wizard of Oz,102.0,1939
Sunrise: A Song of Two Humans,94.0,1927
Stalag 17,120.0,1953
Soldier of Orange,149.0,1977
Bridget Jones's Diary,97.0,2001
Angel Heart,113.0,1987
THX 1138,86.0,1971
Life Is Beautiful,116.0,1997
Lost Highway,134.0,1997
When Harry Met Sally...,96.0,1989
Catch Me If You Can,141.0,2002
Requiem for a Dream,102.0,2000
Butch Cassidy and the Sundance Kid,110.0,1969
Battleship Potemkin,75.0,1925
A.I. Artificial Intelligence,146.0,2001
Dr. No,110.0,1962
Final Fantasy VII: Advent Children,101.0,2005
Beauty and the Beast,96.0,1946
Belle de Jour,101.0,1967
Boyz n the Hood,112.0,1991
M*A*S*H,116.0,1970
Troy,163.0,2004
Nosferatu,94.0,1922
On the Waterfront,108.0,1954
"Paris, Texas",147.0,1984
From Russia with Love,115.0,1963
Goldfinger,110.0,1964
The Tin Drum,142.0,1979
Thunderball,130.0,1965
The Marriage of Maria Braun,116.0,1979
La Jetée,28.0,1962
Saw IV,93.0,2007
Twister,113.0,1996
Ben-Hur,212.0,1959
Central Station,113.0,1998
You Only Live Twice,117.0,1967
On Her Majesty's Secret Service,142.0,1969
Nanook of the North,79.0,1922
Oldboy,120.0,2003
Harry Potter and the Philosopher's Stone,152.0,2001
Harry Potter and the Chamber of Secrets,161.0,2002
Harry Potter and the Prisoner of Azkaban,141.0,2004
Harry Potter and the Goblet of Fire,157.0,2005
Harry Potter and the Order of the Phoenix,138.0,2007
Pearl Harbor,183.0,2001
Olympia Part One: Festival of the Nations,126.0,1938
Out of the Past,97.0,1947
Aliens,137.0,1986
Pulp Fiction,154.0,1994
Diamonds Are Forever,120.0,1971
The Man with the Golden Gun,125.0,1974
Olympia Part Two: Festival of Beauty,100.0,1938
Contact,150.0,1997
Dead Man Walking,122.0,1995
The Bridges of Madison County,135.0,1995
The Travelling Players,223.0,1975
Pickpocket,75.0,1959
The Spy Who Loved Me,125.0,1977
Pink Flamingos,93.0,1972
Meet the Fockers,115.0,2004
The Shining,144.0,1980
Short Cuts,187.0,1993
Manhattan,96.0,1979
October (Ten Days that Shook the World),94.0,1928
Moonraker,126.0,1979
For Your Eyes Only,127.0,1981
Octopussy,131.0,1983
Our Hospitality,73.0,1923
A Streetcar Named Desire,125.0,1951
Annie Hall,93.0,1977
A Hard Day's Night,88.0,1964
All About Eve,138.0,1950
Effi Briest,141.0,1974
A View to a Kill,131.0,1985
The Living Daylights,130.0,1987
Licence to Kill,133.0,1989
GoldenEye,130.0,1995
Finding Forrester,136.0,2000
Four Weddings and a Funeral,117.0,1994
The Piano,121.0,1993
Tomorrow Never Dies,119.0,1997
Together,106.0,2000
Top Gun,110.0,1986
The Sixth Sense,107.0,1999
The Last Emperor,163.0,1987
Shaun of the Dead,99.0,2004
Murder She Said,87.0,1961
Murder at the Gallop,81.0,1963
V for Vendetta,132.0,2006
Faces,130.0,1968
Face/Off,138.0,1997
From Dusk Till Dawn,108.0,1996
Fantasia,124.0,1940
Murder Most Foul,90.0,1964
Murder Ahoy,93.0,1964
Gentlemen Prefer Blondes,91.0,1953
The Mad Adventures of Rabbi Jacob,100.0,1973
The Wing or the Thigh,104.0,1976
Monty Python and the Holy Grail,91.0,1975
Braindead,104.0,1992
The Evil Dead,85.0,1981
Evil Dead II,84.0,1987
Army of Darkness,81.0,1992
Harry Potter and the Half-Blood Prince,153.0,2009
From Hell,122.0,2001
GoodFellas,145.0,1990
Gone with the Wind,238.0,1939
Home Alone,103.0,1990
Home Alone 2: Lost in New York,120.0,1992
Little Miss Sunshine,102.0,2006
Workers Leaving the Lumière Factory,1.0,1895
A Trip to the Moon,14.0,1902
The Rules of the Game,110.0,1939
Grand Illusion,114.0,1937
Monsieur  Hulot's Holiday,84.0,1953
Vampyr,73.0,1932
The Passion of Joan of Arc,110.0,1928
Wintersleepers,120.0,1997
Gattaca,106.0,1997
Gandhi,191.0,1982
Kolya,105.0,1996
Almost Famous,122.0,2000
Mr. & Mrs. Smith,120.0,2005
Mrs. Doubtfire,125.0,1993
Closely Watched Trains,89.0,1966
The Fog,89.0,1980
The Fog,100.0,2005
Platoon,120.0,1986
Blue Velvet,120.0,1986
The Omen,111.0,1976
City of Angels,114.0,1998
Cruel Intentions,97.0,1999
Persona,85.0,1966
Pünktchen und Anton,91.0,1953
Annaluise & Anton,107.0,1999
Los Olvidados,85.0,1950
"Good Morning, Vietnam",121.0,1987
Lolita,153.0,1962
Night and Fog,32.0,1955
Roman Holiday,119.0,1953
Rosemary's Baby,136.0,1968
The Omen,110.0,2006
Se7en,127.0,1995
Shrek,90.0,2001
Shrek 2,93.0,2004
Shrek the Third,93.0,2007
Silent Running,89.0,1972
Aladdin,90.0,1992
Airplane!,88.0,1980
An American Werewolf in London,97.0,1981
Animal Farm,91.0,1999
Austin Powers: International Man of Mystery,94.0,1997
Austin Powers: The Spy Who Shagged Me,95.0,1999
Austin Powers in Goldmember,94.0,2002
Sleepers,147.0,1996
JFK,189.0,1991
Judgment at Nuremberg,186.0,1961
The Music Room,100.0,1958
Jin-Roh: The Wolf Brigade,102.0,1999
Moulin Rouge!,127.0,2001
Playing by Heart,121.0,1998
The Bridge on the River Kwai,161.0,1957
Diabolique,116.0,1955
The Day the Earth Stood Still,92.0,1951
Chinatown,130.0,1974
Forbidden Planet,98.0,1956
This Island Earth,87.0,1955
M,117.0,1931
Umberto D.,89.0,1952
Underworld: Evolution,106.0,2006
Barren Lives,115.0,1963
Videodrome,87.0,1983
American Graffiti,110.0,1973
Duel,74.0,1972
Close Encounters of the Third Kind,135.0,1977
Dune,137.0,1984
The Assassination of Richard Nixon,95.0,2004
In the Mood for Love,98.0,2000
2046,129.0,2004
Strangers on a Train,101.0,1951
The X Files,121.0,1998
Willow,126.0,1988
Dragonslayer,108.0,1981
Krull,117.0,1983
A Christmas Story,94.0,1983
Brief Encounter,86.0,1945
Enemy at the Gates,131.0,2001
The Mask,101.0,1994
Black Hawk Down,144.0,2001
Who Framed Roger Rabbit,104.0,1988
Saving Private Ryan,169.0,1998
Sleepless in Seattle,105.0,1993
Dangerous Liaisons,119.0,1988
WarGames,114.0,1983
Total Recall,113.0,1990
Toy Story,81.0,1995
Toy Story 2,92.0,1999
Cool Runnings,98.0,1993
The Running Man,101.0,1987
Finding Neverland,106.0,2004
Sliver,108.0,1993
Tsotsi,94.0,2005
Planet of the Apes,119.0,2001
Dolls,114.0,2002
Planet of the Apes,112.0,1968
Singin' in the Rain,103.0,1952
The Color Purple,154.0,1985
A Man for All Seasons,120.0,1966
Shanghai Express,80.0,1932
Frank Herbert's Dune,292.0,2000
Scarface,90.0,1932
The Punch Bowl,97.0,1944
Hook,144.0,1991
Antonia's Line,102.0,1995
A Few Good Men,138.0,1992
Coffee and Cigarettes,96.0,2003
Crash,100.0,1996
The Docks of New York,76.0,1928
The Cincinnati Kid,102.0,1965
The Best Years of Our Lives,172.0,1946
The Flintstones,91.0,1994
The Flintstones in Viva Rock Vegas,90.0,2000
Brother of Sleep,127.0,1995
All the President's Men,138.0,1976
Delicatessen,99.0,1991
Andrei Rublev,205.0,1966
The World of Apu,117.0,1959
Aparajito,110.0,1956
Birdman of Alcatraz,147.0,1962
Broken Blossoms,90.0,1919
Bringing Up Baby,102.0,1938
City Lights,87.0,1931
The City of Lost Children,108.0,1995
Cool Hand Luke,126.0,1967
Pandora's Box,109.0,1929
Doctor Zhivago,197.0,1965
Meet Me in St. Louis,113.0,1944
The Big Sleep,116.0,1946
The Bank Dick,72.0,1940
The Thomas Crown Affair,102.0,1968
The Thomas Crown Affair,113.0,1999
The Great Dictator,125.0,1940
Bullitt,113.0,1968
Mother India,172.0,1957
Blind Date,95.0,1987
Blood: The Last Vampire,48.0,2000
Cars,117.0,2006
Cinderella Man,144.0,2005
Dead Man,121.0,1995
Dawn of the Dead,127.0,1978
Dawn of the Dead,101.0,2004
Do the Right Thing,120.0,1989
Galaxy Quest,102.0,1999
Gremlins,106.0,1984
Gremlins 2: The New Batch,106.0,1990
Godzilla,139.0,1998
Don't Look Now,110.0,1973
The Murderers Are Among Us,91.0,1946
Rififi,122.0,1955
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95.0,1964
The Pink Panther,115.0,1963
For a Few Dollars More,132.0,1965
The Jazz Singer,89.0,1927
The Lady Vanishes,96.0,1938
Lethal Weapon,110.0,1987
Lethal Weapon 2,114.0,1989
Lethal Weapon 3,118.0,1992
Lethal Weapon 4,127.0,1998
Letter from an Unknown Woman,87.0,1948
Lawrence of Arabia,216.0,1962
Halloween,91.0,1978
Heat,170.0,1995
Ice Age: The Meltdown,91.0,2006
Kindergarten Cop,111.0,1990
Madagascar,86.0,2005
Mission: Impossible,110.0,1996
Mission: Impossible II,123.0,2000
Mission: Impossible III,126.0,2006
Spaceballs,96.0,1987
The General,79.0,1926
The Gold Rush,95.0,1925
The Maltese Falcon,100.0,1941
The Phantom of the Opera,101.0,1925
The Magnificent Ambersons,88.0,1942
The Magnificent Seven,128.0,1960
Spartacus,197.0,1960
Dog Day Afternoon,125.0,1975
Paths of Glory,88.0,1957
Sweet Smell of Success,96.0,1957
Tabu,84.0,1931
Seven Years in Tibet,136.0,1997
Irreversible,97.0,2002
The Ox-Bow Incident,75.0,1943
The Philadelphia Story,112.0,1940
The Manchurian Candidate,126.0,1962
The Man Who Would Be King,129.0,1975
Dirty Harry,102.0,1971
Eraserhead,89.0,1977
Chimes at Midnight,115.0,1965
The Front Page,105.0,1974
The China Syndrome,122.0,1979
The Mortal Storm,100.0,1940
The Hustler,134.0,1961
The Man Who Fell to Earth,138.0,1976
"Sherlock, Jr.",49.0,1924
Sleuth,138.0,1972
Straw Dogs,118.0,1971
Stagecoach,96.0,1939
Double Indemnity,107.0,1944
Mulholland Drive,147.0,2001
Adam's Apples,94.0,2005
Heavenly Creatures,99.0,1994
The Inheritors,95.0,1998
The Leopard,185.0,1963
Sommersby,109.0,1993
Shower,92.0,1999
The French Connection,104.0,1971
Blow-Up,111.0,1966
Breathless,100.0,1983
The Hidden Fortress,139.0,1958
Arlington Road,117.0,1999
"Black Cat, White Cat",127.0,1998
Whale Rider,101.0,2003
Point Break,120.0,1991
The Thirteenth Floor,100.0,1999
The Thing,109.0,1982
The Third Man,104.0,1949
Elevator to the Gallows,88.0,1958
Escape from New York,99.0,1981
The Weeping Camel,91.0,2003
Ghosts,85.0,2005
The Wind That Shakes the Barley,124.0,2006
Catch a Fire,101.0,2006
The Prestige,130.0,2006
Dreamgirls,134.0,2006
In My Father's Den,126.0,2004
Princesses,113.0,2005
The Miracle Worker,106.0,1962
The Miracle Worker,95.0,2000
Babel,143.0,2006
The Queen,103.0,2006
The Talented Mr. Ripley,139.0,1999
Eight Miles High,114.0,2007
The Remains of the Day,134.0,1993
Rocky Balboa,102.0,2006
The Good Shepherd,167.0,2006
Hannibal Rising,121.0,2007
Hollywoodland,126.0,2006
Ghost Rider,114.0,2007
Letters from Iwo Jima,141.0,2006
Lonely Hearts,108.0,2006
Breaking and Entering,129.0,2006
"Don't Worry, I'm Fine",96.0,2006
The Host,119.0,2006
Because I Said So,102.0,2007
Notes on a Scandal,92.0,2006
Lotte from Gadgetville,81.0,2006
Stranger Than Fiction,113.0,2006
Bridge to Terabithia,96.0,2007
Street Kings,109.0,2008
Meet the Robinsons,95.0,2007
Mr. Bean's Holiday,90.0,2007
The Vexxer,98.0,2007
300,117.0,2006
Sunshine,107.0,2007
TMNT,90.0,2007
Gloomy Sunday,112.0,1999
The Dreamers,115.0,2003
Samaritan Girl,95.0,2004
3-Iron,88.0,2004
Bean,85.0,1997
Dogtown and Z-Boys,91.0,2001
"Torrente, the Dumb Arm of the Law",97.0,1998
Torrente 2: Mission in Marbella,99.0,2001
Torrente 3 The Protector,91.0,2005
Four Minutes,112.0,2006
A Brief History of Time,80.0,1991
American Psycho,102.0,2000
Frida,123.0,2002
The Return of the King,98.0,1980
The Hobbit,77.0,1977
The Hi-Lo Country,114.0,1998
Sex and Lucia,128.0,2001
Monster's Ball,111.0,2001
Rocky,119.0,1976
Rocky II,119.0,1979
First Blood,93.0,1982
Rambo: First Blood Part II,96.0,1985
Rambo III,102.0,1988
Rocky III,99.0,1982
Blood Diamond,143.0,2006
The Discovery of Heaven,127.0,2001
Rocky IV,91.0,1985
Rocky V,104.0,1990
Sweet Sixteen,106.0,2002
Houseboat,110.0,1958
Shortbus,101.0,2006
